"","Gender","SeniorCitizen","Tenure","MultipleLines","InternetService","OnlineBackup","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn"
"2533","Female","Yes","TRUE","No","Fiber optic","No","Yes","Yes","One year","Yes","Bank transfer (automatic)","No"
"3113","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)","No"
"6482","Female","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"5508","Female","No","TRUE","No","DSL","Yes","No","No","One year","Yes","Electronic check","No"
"2544","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","No","Mailed check","Yes"
"1292","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Electronic check","Yes"
"4925","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"5474","Male","No","TRUE","No","DSL","No","No","No","Month-to-month","Yes","Electronic check","No"
"2571","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes"
"1223","Male","No","TRUE","No","DSL","No","Yes","No","Two year","No","Mailed check","No"
"1924","Male","No","TRUE","No","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"4055","Female","Yes","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"3316","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No"
"1962","Female","No","TRUE","Yes","DSL","Yes","No","No","One year","Yes","Bank transfer (automatic)","No"
"1866","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","No"
"2175","Female","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"6008","Male","No","TRUE","No","DSL","No","Yes","Yes","One year","No","Bank transfer (automatic)","No"
"2825","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"6551","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"3362","Female","Yes","TRUE","Yes","DSL","Yes","No","Yes","Month-to-month","No","Credit card (automatic)","No"
"2212","Female","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Mailed check","No"
"5771","Female","No","TRUE","Yes","DSL","No","No","No","One year","No","Credit card (automatic)","No"
"5554","Male","No","FALSE","No","DSL","No","No","Yes","Month-to-month","Yes","Mailed check","Yes"
"5648","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"5185","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Two year","Yes","Bank transfer (automatic)","No"
"1756","Female","No","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Electronic check","No"
"704","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"1772","Male","Yes","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"1567","Male","No","TRUE","No","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"4479","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"746","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"3681","Male","No","FALSE","No","DSL","No","Yes","No","Month-to-month","No","Mailed check","Yes"
"2104","Male","Yes","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"6159","Male","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Electronic check","No"
"2780","Male","No","FALSE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"4582","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"6827","Male","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"4286","Male","No","TRUE","Yes","DSL","Yes","Yes","No","Two year","No","Credit card (automatic)","No"
"1261","Male","No","FALSE","No","DSL","Yes","No","No","Month-to-month","Yes","Mailed check","No"
"6257","Female","No","FALSE","No","DSL","No","No","Yes","Month-to-month","No","Mailed check","Yes"
"6663","Female","No","TRUE","No","DSL","Yes","No","No","One year","No","Credit card (automatic)","No"
"6092","Male","Yes","FALSE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Mailed check","Yes"
"5501","Male","No","TRUE","No","DSL","Yes","No","No","Two year","No","Bank transfer (automatic)","No"
"705","Male","No","FALSE","No","DSL","Yes","No","No","Month-to-month","No","Mailed check","No"
"2072","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","No","Two year","No","Credit card (automatic)","No"
"5558","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","No","Electronic check","No"
"2659","Female","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"4675","Male","No","TRUE","No","DSL","No","No","No","One year","No","Mailed check","No"
"734","Female","No","TRUE","Yes","Fiber optic","No","No","No","Two year","No","Bank transfer (automatic)","No"
"5191","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"4551","Female","No","TRUE","Yes","No","No","No","No","Two year","Yes","Bank transfer (automatic)","No"
"236","Male","No","FALSE","Yes","DSL","Yes","No","No","Month-to-month","Yes","Mailed check","Yes"
"716","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","No"
"3627","Male","No","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"698","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"6522","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Mailed check","No"
"3252","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"1244","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Electronic check","Yes"
"293","Male","No","TRUE","No","Fiber optic","Yes","No","No","One year","No","Mailed check","No"
"3941","Male","No","TRUE","No","DSL","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"779","Female","No","TRUE","Yes","Fiber optic","Yes","No","Yes","One year","Yes","Credit card (automatic)","No"
"2607","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","No","Electronic check","No"
"143","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
